Date,Open,High,Low,Close,Adj Close,Volume
2022-05-09,80.19999694824219,80.70999908447266,78.5,78.5,78.5,34503598
2022-05-10,79.76000213623047,80.69999694824219,78.13999938964844,78.25,78.25,38987295
2022-05-11,78.91000366210938,81.87999725341797,77.86499786376953,80.5,80.5,50353999
2022-05-12,79.62999725341797,83.2699966430664,78.30999755859375,81.37999725341797,81.37999725341797,40624080
2022-05-13,82.0,84.7699966430664,81.23999786376953,83.8499984741211,83.8499984741211,34762041
2022-05-16,84.0,84.25,80.66999816894531,80.68000030517578,80.68000030517578,39566306
2022-05-17,81.20999908447266,81.55000305175781,78.91000366210938,81.20999908447266,81.20999908447266,45440378
2022-05-18,81.6500015258789,86.12999725341797,81.22000122070312,84.77999877929688,84.77999877929688,43140638
2022-05-19,83.22000122070312,83.6500015258789,80.39299774169922,83.02999877929688,83.02999877929688,39627716
2022-05-20,83.37000274658203,85.11000061035156,82.38999938964844,83.30999755859375,83.30999755859375,42166916
2022-05-23,84.66000366210938,84.83300018310547,82.04000091552734,83.13999938964844,83.13999938964844,24904995
2022-05-24,82.20999908447266,82.31900024414062,80.0199966430664,80.08000183105469,80.08000183105469,43225959
2022-05-25,81.0,83.5199966430664,80.18000030517578,83.5199966430664,83.5199966430664,28545423
2022-05-26,83.9000015258789,86.48999786376953,83.2699966430664,86.44000244140625,86.44000244140625,26385718
2022-05-27,86.02999877929688,87.5,85.19200134277344,86.91000366210938,86.91000366210938,20696735
2022-05-30,88.43000030517578,89.98999786376953,87.04000091552734,88.98999786376953,88.98999786376953,36551544
2022-05-31,88.4000015258789,89.5979995727539,86.13999938964844,86.69000244140625,86.69000244140625,52757469
2022-06-01,87.91999816894531,89.77999877929688,87.30999755859375,88.7300033569336,88.7300033569336,24408913
2022-06-06,90.0,93.80999755859375,89.02999877929688,92.91999816894531,92.91999816894531,43645348
2022-06-07,91.5,93.2699966430664,91.37999725341797,91.86000061035156,91.86000061035156,26031036
2022-06-08,92.22000122070312,94.22000122070312,92.22000122070312,92.38999938964844,92.38999938964844,28060336
2022-06-09,91.95999908447266,93.40799713134766,90.52999877929688,91.69000244140625,91.69000244140625,37795402
2022-06-10,90.63999938964844,90.8550033569336,87.98999786376953,87.98999786376953,87.98999786376953,31027021
2022-06-13,87.55999755859375,89.88999938964844,85.70999908447266,86.16999816894531,86.16999816894531,42629567
2022-06-14,87.56999969482422,89.66999816894531,85.7699966430664,87.91999816894531,87.91999816894531,25494755
2022-06-15,87.70999908447266,91.69999694824219,87.70999908447266,90.69000244140625,90.69000244140625,34660240
2022-06-16,90.11000061035156,90.5,86.54000091552734,87.08999633789062,87.08999633789062,35142748
2022-06-17,87.11000061035156,90.43000030517578,84.52999877929688,87.70999908447266,87.70999908447266,40797109
2022-06-20,88.45999908447266,91.87000274658203,87.4000015258789,91.5,91.5,80120436
2022-06-21,92.36000061035156,93.0,90.83000183105469,90.83000183105469,90.83000183105469,18973838
2022-06-22,89.72000122070312,89.72000122070312,84.56999969482422,86.11000061035156,86.11000061035156,43418663
2022-06-23,86.0,86.02999877929688,81.8499984741211,81.8499984741211,81.8499984741211,42480289
2022-06-24,82.16999816894531,82.68299865722656,79.08000183105469,80.94000244140625,80.94000244140625,46659037
2022-06-27,81.29000091552734,84.19999694824219,81.0,81.80999755859375,81.80999755859375,48517384
2022-06-28,83.0,89.0999984741211,82.71600341796875,87.13999938964844,87.13999938964844,39811343
2022-06-29,85.91999816894531,86.5199966430664,84.0199966430664,84.19999694824219,84.19999694824219,26970098
2022-06-30,82.83000183105469,83.9800033569336,81.7699966430664,82.94999694824219,82.94999694824219,33259962
2022-07-01,82.63999938964844,87.66000366210938,81.76000213623047,86.08000183105469,86.08000183105469,31136406
2022-07-04,86.4800033569336,88.52999877929688,85.94999694824219,86.54000091552734,86.54000091552734,15921348
2022-07-05,88.0,88.0,79.12000274658203,79.12000274658203,79.12000274658203,61267269
2022-07-06,79.30000305175781,82.93000030517578,79.30000305175781,82.12000274658203,82.12000274658203,30748018
2022-07-07,82.33000183105469,85.72000122070312,82.33000183105469,85.26000213623047,85.26000213623047,29744911
2022-07-08,86.22000122070312,87.5199966430664,85.08000183105469,87.12999725341797,87.12999725341797,24038787
2022-07-11,85.5,87.55000305175781,83.97599792480469,86.73999786376953,86.73999786376953,20691723
2022-07-12,85.12999725341797,88.77999877929688,85.12999725341797,88.77999877929688,88.77999877929688,19665814
2022-07-13,88.6500015258789,90.19999694824219,87.13999938964844,88.58000183105469,88.58000183105469,33150428
2022-07-14,88.51000213623047,89.58000183105469,85.12000274658203,85.31999969482422,85.31999969482422,34455578
2022-07-15,85.4800033569336,90.48999786376953,84.8499984741211,89.79000091552734,89.79000091552734,30074722
2022-07-18,88.41000366210938,92.7699966430664,88.41000366210938,92.19000244140625,92.19000244140625,26995727
2022-07-19,91.37999725341797,94.41500091552734,90.2699966430664,93.8499984741211,93.8499984741211,19068452
